"DeviceName","DeviceDescription","ConnectionStatus","DeviceID","Timestamp"
"Intel(R) Wireless Bluetooth(R)","Intel(R) Wireless Bluetooth(R)","OK","USB\VID_8087&PID_0029\5&115A75A8&0&14","2023-08-09 07:00:34"
"Integrated Monitor","Generic PnP Monitor","OK","DISPLAY\LGD065A\4&768CA29&0&UID265988","2023-08-09 07:00:34"
"HID-compliant consumer control device","HID-compliant consumer control device","OK","HID\VID_046D&PID_C534&MI_01&COL02\7&1C200D2C&0&0001","2023-08-09 07:00:34"
"Motherboard resources","Motherboard resources","OK","ACPI\PNP0C02\1","2023-08-09 07:00:34"
"Motherboard resources","Motherboard resources","OK","ACPI\PNP0C02\2","2023-08-09 07:00:34"
"Motherboard resources","Motherboard resources","OK","ACPI\PNP0C02\5","2023-08-09 07:00:34"
"GEARMANAGER","GEARMANAGER","OK","BTHENUM\{2E73A4AD-332D-41FC-90E2-16BEF06523F2}_VID&00010075_PID&A013\7&38D62565&0&388F30B6FBEC_C00000000","2023-08-09 07:00:34"
"Galaxy Buds2 (FBEC) Avrcp Transport","Microsoft Bluetooth Avrcp Transport Driver","OK","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&00010075_PID&A013\7&38D62565&0&388F30B6FBEC_C00000000","2023-08-09 07:00:34"
"Realtek Audio Universal Service","Realtek Audio Universal Service","OK","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKSRV&5&1244B4B0&0","2023-08-09 07:00:34"
"Microsoft ACPI-Compliant Embedded Controller","Microsoft ACPI-Compliant Embedded Controller","OK","ACPI\PNP0C09\4&36F1FB5D&0","2023-08-09 07:00:34"
"System timer","System timer","OK","ACPI\PNP0100\4&36F1FB5D&0","2023-08-09 07:00:34"
"Khushaxx Avrcp Transport","Microsoft Bluetooth Avrcp Transport Driver","OK","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4C-50EF-11ED-A079-806E6F6E6963}#0000000006500000","2023-08-09 07:00:34"
"Microsoft ACPI-Compliant Control Method Battery","Microsoft ACPI-Compliant Control Method Battery","OK","ACPI\PNP0C0A\0","2023-08-09 07:00:34"
"USB Composite Device","USB Composite Device","OK","USB\VID_04F2&PID_B64F\0001","2023-08-09 07:00:34"
"ACPI Processor Aggregator","ACPI Processor Aggregator","OK","ACPI\ACPI000C\2&DABA3FF&0","2023-08-09 07:00:34"
"Bluetooth Peripheral Device","Bluetooth Peripheral Device","OK","BTHENUM\{00001800-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"Phonebook Access Pse Service","Phonebook Access Pse Service","OK","BTHENUM\{0000112F-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz","Intel Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I5-9300H_CPU_@_2.40GHZ\_1","2023-08-09 07:00:34"
"Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz","Intel Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I5-9300H_CPU_@_2.40GHZ\_2","2023-08-09 07:00:34"
"Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz","Intel Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I5-9300H_CPU_@_2.40GHZ\_3","2023-08-09 07:00:34"
"Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz","Intel Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I5-9300H_CPU_@_2.40GHZ\_4","2023-08-09 07:00:34"
"Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz","Intel Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I5-9300H_CPU_@_2.40GHZ\_5","2023-08-09 07:00:34"
"Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz","Intel Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I5-9300H_CPU_@_2.40GHZ\_6","2023-08-09 07:00:34"
"Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz","Intel Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I5-9300H_CPU_@_2.40GHZ\_7","2023-08-09 07:00:34"
"Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz","Intel Processor","OK","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_158_-_INTEL(R)_CORE(TM)_I5-9300H_CPU_@_2.40GHZ\_8","2023-08-09 07:00:34"
"Root Print Queue","Local Print Queue","OK","SWD\PRINTENUM\PRINTQUEUES","2023-08-09 07:00:34"
"Wi-Fi","Generic software device","OK","SWD\RADIO\{B304FE05-AC9A-4450-8438-0F4C470069E8}","2023-08-09 07:00:34"
"Intel(R) Management Engine Interface ","Intel(R) Management Engine Interface ","OK","PCI\VEN_8086&DEV_A360&SUBSYS_13311025&REV_10\3&11583659&0&B0","2023-08-09 07:00:34"
"Volume Manager","Volume Manager","OK","ROOT\VOLMGR\0000","2023-08-09 07:00:34"
"Intel Chipset SATA RAID Controller","Intel Chipset SATA RAID Controller","OK","PCI\VEN_8086&DEV_282A&SUBSYS_13311025&REV_10\3&11583659&0&B8","2023-08-09 07:00:34"
"Microsoft Bluetooth LE Enumerator","Microsoft Bluetooth LE Enumerator","OK","BTH\MS_BTHLE\6&102EBEE3&0&3","2023-08-09 07:00:34"
"Trusted Platform Module 2.0","Trusted Platform Module 2.0","OK","ACPI\MSFT0101\2&DABA3FF&0","2023-08-09 07:00:34"
"HID-compliant mouse","HID-compliant mouse","OK","HID\SYNA7DB5&COL01\5&22D87139&0&0000","2023-08-09 07:00:34"
"WAN Miniport (PPPOE)","WAN Miniport (PPPOE)","OK","SWD\MSRRAS\MS_PPPOEMINIPORT","2023-08-09 07:00:34"
"Volume","Volume","OK","STORAGE\VOLUME\{A8A4BF4B-50EF-11ED-A079-806E6F6E6963}#00000021ED000000","2023-08-09 07:00:34"
"Intel(R) Serial IO I2C Host Controller - A368","Intel(R) Serial IO I2C Host Controller - A368","OK","PCI\VEN_8086&DEV_A368&SUBSYS_13311025&REV_10\3&11583659&0&A8","2023-08-09 07:00:34"
"Microsoft Hyper-V Virtual Machine Bus Provider","Microsoft Hyper-V Virtual Machine Bus Provider","OK","ROOT\VMBUS\0000","2023-08-09 07:00:34"
"Personal Area Network Service","Personal Area Network Service","OK","BTHENUM\{00001115-0000-1000-8000-00805F9B34FB}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"Microsoft Basic Display Driver","Microsoft Basic Display Driver","OK","ROOT\BASICDISPLAY\0000","2023-08-09 07:00:34"
"ACPI Sleep Button","ACPI Sleep Button","OK","ACPI\PNP0C0E\2&DABA3FF&0","2023-08-09 07:00:34"
"Microsoft Hypervisor Service","Microsoft Hypervisor Service","OK","ROOT\HVSERVICE\0000","2023-08-09 07:00:34"
"Intel(R) Host Bridge/DRAM Registers - 3E10","Intel(R) Host Bridge/DRAM Registers - 3E10","OK","PCI\VEN_8086&DEV_3E10&SUBSYS_13311025&REV_0D\3&11583659&0&00","2023-08-09 07:00:34"
"Intel(R) Thermal Subsystem - A379","Intel(R) Thermal Subsystem - A379","OK","PCI\VEN_8086&DEV_A379&SUBSYS_13311025&REV_10\3&11583659&0&90","2023-08-09 07:00:34"
"Khushaxx Hands-Free HF Audio","Microsoft Bluetooth Hands-Free Audio device","OK","BTHHFENUM\BTHHFPAUDIO\8&35B204BA&0&97","2023-08-09 07:00:34"
"VPN Client Adapter - VPN","VPN Client Adapter - VPN","OK","ROOT\NET\0000","2023-08-09 07:00:34"
"VirtualBox Host-Only Ethernet Adapter","VirtualBox Host-Only Ethernet Adapter","OK","ROOT\NET\0001","2023-08-09 07:00:34"
"VirtualBox Host-Only Ethernet Adapter #2","VirtualBox Host-Only Ethernet Adapter","OK","ROOT\NET\0003","2023-08-09 07:00:34"
"Intel(R) PCI Express Root Port #15 - A336","Intel(R) PCI Express Root Port #15 - A336","OK","PCI\VEN_8086&DEV_A336&SUBSYS_13311025&REV_F0\3&11583659&0&EE","2023-08-09 07:00:34"
"Microsoft RRAS Root Enumerator","Generic software device","OK","SWD\MSRRAS\{5E259276-BC7E-40E3-B93B-8F89B5F3ABC0}","2023-08-09 07:00:34"
"System Firmware","System Firmware","OK","UEFI\RES_{78EB1D85-750B-49DC-861F-34967AD8C7CF}\0","2023-08-09 07:00:34"
"Airdopes 138 Hands-Free","Microsoft Bluetooth Hands-Free Audio device","OK","BTHHFENUM\BTHHFPAUDIO\8&3DB1589&0&97","2023-08-09 07:00:34"
"VMware Virtual Ethernet Adapter for VMnet1","VMware Virtual Ethernet Adapter for VMnet1","OK","ROOT\VMWARE\0000","2023-08-09 07:00:34"
"VMware Virtual Ethernet Adapter for VMnet8","VMware Virtual Ethernet Adapter for VMnet8","OK","ROOT\VMWARE\0001","2023-08-09 07:00:34"
"Intel(R) 300 Series Chipset Family LPC Controller (HM370) - A30D","Intel(R) 300 Series Chipset Family LPC Controller (HM370) - A30D","OK","PCI\VEN_8086&DEV_A30D&SUBSYS_13311025&REV_10\3&11583659&0&F8","2023-08-09 07:00:34"
"HID-compliant system controller","HID-compliant system controller","OK","HID\VID_046D&PID_C534&MI_01&COL03\7&1C200D2C&0&0002","2023-08-09 07:00:34"
"OneNote (Desktop)","Local Print Queue","OK","SWD\PRINTENUM\{9B0DA294-31CB-45D8-AD19-00D52DA64B1D}","2023-08-09 07:00:34"
"WAN Miniport (PPTP)","WAN Miniport (PPTP)","OK","SWD\MSRRAS\MS_PPTPMINIPORT","2023-08-09 07:00:34"
"NearbySharing","NearbySharing","OK","BTHENUM\{A82EFA21-AE5C-3DDE-9BBC-F16DA7B16C5A}_VID&00010008_PID&2E81\7&38D62565&0&0CEC8D450534_C00000000","2023-08-09 07:00:34"
"Airdopes 138 Avrcp Transport","Microsoft Bluetooth Avrcp Transport Driver","OK","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&38D62565&0&C469608EF57B_C00000000","2023-08-09 07:00:34"
"Intel(R) UHD Graphics 630","Intel(R) UHD Graphics 630","OK","PCI\VEN_8086&DEV_3E9B&SUBSYS_13311025&REV_02\3&11583659&0&10","2023-08-09 07:00:34"
"Microsoft Hyper-V Virtualization Infrastructure Driver","Microsoft Hyper-V Virtualization Infrastructure Driver","OK","ROOT\VID\0000","2023-08-09 07:00:34"
"Acer Nitro AN515-54","Computer Device","OK","SWD\COMPUTER\MFG_ACER&FAM_NITRO_5&PROD_NITRO_AN515-54&SKU_0000000000000000","2023-08-09 07:00:34"
"High precision event timer","High precision event timer","OK","ACPI\PNP0103\0","2023-08-09 07:00:34"
"Galaxy Buds2 (FBEC) Hands-Free AG","Microsoft Bluetooth Hands-Free Profile AudioGateway role","OK","BTHENUM\{0000111E-0000-1000-8000-00805F9B34FB}_VID&00010075_PID&A013\7&38D62565&0&388F30B6FBEC_C00000000","2023-08-09 07:00:34"
"WAN Miniport (IKEv2)","WAN Miniport (IKEv2)","OK","SWD\MSRRAS\MS_AGILEVPNMINIPORT","2023-08-09 07:00:34"
"Composite Bus Enumerator","Composite Bus Enumerator","OK","ROOT\COMPOSITEBUS\0000","2023-08-09 07:00:34"
"Microsoft Virtual Drive Enumerator","Microsoft Virtual Drive Enumerator","OK","ROOT\VDRVROOT\0000","2023-08-09 07:00:34"
