"DisplayName","Publisher","DisplayVersion","InstallDate","UninstallString"
"Cisco Packet Tracer 8.2.0 64Bit","Cisco Systems, Inc.",,"20220817","""C:\Program Files\Cisco Packet Tracer 8.2.0\unins000.exe"""
"Git","The Git Development Community","2.38.1","20221107","""C:\Program Files\Git\unins001.exe"""
"PostgreSQL 14 ","PostgreSQL Global Development Group","14","20230102","""C:\Program Files\PostgreSQL\14\uninstall-postgresql.exe"""
"Sublime Text 3","Sublime HQ Pty Ltd",,"20221222","""C:\Program Files\Sublime Text 3\unins000.exe"""
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","Microsoft Corporation","12.0.40664","20210819","MsiExec.exe /X{010792BA-551A-3AC0-A7EF-0FAB4156C382}"
"ARMOURY CRATE Service","ASUS","5.2.10","20201116","C:\ProgramData\ASUS\ARMOURYCRATEServiceUninstall\Uninstall.exe"
"ASUS Aac_NBDT HAL","ASUSTek COMPUTER INC.","2.3.19.0","20201116","MsiExec.exe /I{01D3B7AA-D078-4506-B460-60877FCDDBD6}"
"CamStudio 2.7.4","CamStudio Open Source","2.7.4","20230321","""C:\Program Files\CamStudio 2.7\unins000.exe"""
"Microsoft Visual C++ 2005 Redistributable (x64)","Microsoft Corporation","8.0.56336","20210821","MsiExec.exe /X{071c9b48-7c32-4621-a0ac-3f809523288f}"
"Microsoft .NET AppHost Pack - 6.0.20 (x64_x86)","Microsoft Corporation","48.83.63169","20230713","MsiExec.exe /X{0A74AAE1-3D95-4639-BB79-817B9A1D59E3}"
"Microsoft Web Deploy 4.0","Microsoft Corporation","10.0.5923","20220522","MsiExec.exe /I{0C85743B-48E7-4948-96D6-C3BB90246418}"
"Microsoft .NET AppHost Pack - 7.0.9 (x64_x86)","Microsoft Corporation","56.39.63170","20230713","MsiExec.exe /X{0CE4CE7F-5252-493C-9257-FE5FABA0CDD5}"
"Python 3.11.3 Standard Library (64-bit)","Python Software Foundation","3.11.3150.0","20230523","MsiExec.exe /I{0D289858-69D1-4CB6-946E-659F028DDC27}"
"ASUS Keyboard HAL","ASUSTek COMPUTER INC.","1.1.12.0","20201116","MsiExec.exe /I{0FA0CDEE-5DC8-421E-A97D-C74FA6E66FC3}"
"Microsoft .NET AppHost Pack - 5.0.12 (x64)","Microsoft Corporation","40.48.30622","20211111","MsiExec.exe /X{1164F365-14F7-4A2E-A5C1-833A44138BF8}"
"PuTTY release 0.74 (64-bit)","Simon Tatham","0.74.0.0","20210102","MsiExec.exe /X{127B996B-5308-4012-865B-9446451EA326}"
"Microsoft .NET Toolset 7.0.306 (x64)","Microsoft Corporation","28.7.38987","20230713","MsiExec.exe /X{15E756E0-75B6-449D-A0DC-736C265B8250}"
"Microsoft ASP.NET Core 6.0.20 Targeting Pack (x64)","Microsoft Corporation","6.0.20.23321","20230713","MsiExec.exe /X{180050D3-38D6-3AD1-89FE-541EB832394A}"
"ASUS Mouse HAL","ASUSTek COMPUTER INC.","1.1.0.8","20201116","MsiExec.exe /I{1838F91B-D481-45AA-B92F-071C62D0A19A}"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","Microsoft Corporation","10.0.40219","20210704","MsiExec.exe /X{1D8E6291-B0D5-35EC-8441-6616F567A0F7}"
"Microsoft ASP.NET Core 7.0.9 Shared Framework (x64)","Microsoft Corporation","7.0.9.23321","20230713","MsiExec.exe /X{1DA72E86-68D7-360A-AFAD-04F392E285F7}"
"Microsoft .NET Core 5.0 Templates 5.0.209 (x64)","Microsoft Corporation","20.3.56102","20211111","MsiExec.exe /I{1E8958A5-8827-46AE-ACE4-DB1B77EF083E}"
"Microsoft .NET Core 3.1 Templates 3.1.426 (x64)","Microsoft Corporation","3.1.33.016244","20221216","MsiExec.exe /I{1F0B1023-8690-4D84-A0F7-6193AF1CA36C}"
"Microsoft .NET Host - 6.0.20 (x64)","Microsoft Corporation","48.83.63169","20230713","MsiExec.exe /X{217B2755-3BAD-486B-9606-CCD0E6CF3BE8}"
"Microsoft .NET Runtime - 7.0.9 (x64)","Microsoft Corporation","56.39.63170","20230713","MsiExec.exe /X{23782E82-6E71-4613-9631-E8F8DD27D052}"
"Python 3.11.3 Documentation (64-bit)","Python Software Foundation","3.11.3150.0","20230523","MsiExec.exe /I{25DC2A6F-FDC2-40D0-AA9D-3BF392BDF500}"
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm)","Microsoft Corporation","24.192.31915","20221216","MsiExec.exe /X{270D2A13-4AA7-44FD-B9B3-EA09DD8F32E7}"
"Microsoft .NET AppHost Pack - 7.0.9 (x64_arm64)","Microsoft Corporation","56.39.63170","20230713","MsiExec.exe /X{275BEC08-81D4-4A7A-8E00-4F22816703C4}"
"AutoCAD Raster Design 2023","Autodesk","24.2.53.0","20221018","MsiExec.exe /X{28B89EEF-6131-0409-0102-CF3F3A09B77D}"
