Device Name,Device ID,Class,Status

Microsoft ACPI-Compliant Embedded Controller,ACPI\PNP0C09\1,System,OK

ACPI Wake Alarm,ACPI\ACPI000E\1,System,OK

Motherboard resources,ACPI\PNP0C02\4&2FEAE042&0,System,OK

Direct memory access controller,ACPI\PNP0200\4&1B28F883&0,System,OK

Volume Manager,ROOT\VOLMGR\0000,System,OK

High precision event timer,ACPI\PNP0103\2&DABA3FF&2,System,OK

PCI standard host CPU bridge,PCI\VEN_1022&DEV_144E&SUBSYS_00000000&REV_00\3&11583659&2&C6,System,OK

WAN Miniport (PPPOE),SWD\MSRRAS\MS_PPPOEMINIPORT,Net,OK

PCI standard host CPU bridge,PCI\VEN_1022&DEV_1632&SUBSYS_00000000&REV_00\3&11583659&2&08,System,OK

PCI standard host CPU bridge,PCI\VEN_1022&DEV_1632&SUBSYS_00000000&REV_00\3&11583659&2&10,System,OK

PCI standard host CPU bridge,PCI\VEN_1022&DEV_1632&SUBSYS_00000000&REV_00\3&11583659&2&40,System,OK

Microsoft Basic Display Driver,ROOT\BASICDISPLAY\0000,System,OK

ACPI Thermal Zone,ACPI\THERMALZONE\THRM,System,OK

AMD GPIO Controller,ACPI\AMDI0030\0,System,OK

PCI Express Root Port,PCI\VEN_1022&DEV_1635&SUBSYS_16351022&REV_00\3&11583659&2&41,System,OK

PCI Express Root Port,PCI\VEN_1022&DEV_1635&SUBSYS_16351022&REV_00\3&11583659&2&42,System,OK

VirtualBox Host-Only Ethernet Adapter,ROOT\NET\0000,Net,OK

Windscribe VPN,ROOT\NET\0002,Net,OK

Windscribe Windtun420,ROOT\NET\0003,Net,OK

Microsoft Wi-Fi Direct Virtual Adapter,{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&32F435F4&0&11,Net,OK

Microsoft Wi-Fi Direct Virtual Adapter #2,{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&32F435F4&0&12,Net,OK

ACPI Processor Container Device,ACPI\ACPI0010\1,System,OK

Microsoft Windows Management Interface for ACPI,ACPI\PNP0C14\0,System,OK

VMware Virtual Ethernet Adapter for VMnet1,ROOT\VMWARE\0000,Net,OK

VMware Virtual Ethernet Adapter for VMnet8,ROOT\VMWARE\0001,Net,OK

PCI standard host CPU bridge,PCI\VEN_1022&DEV_144B&SUBSYS_00000000&REV_00\3&11583659&2&C3,System,OK

High Definition Audio Controller,PCI\VEN_10DE&DEV_10FA&SUBSYS_87B1103C&REV_A1\4&203EC6B6&0&0109,System,OK

WAN Miniport (PPTP),SWD\MSRRAS\MS_PPTPMINIPORT,Net,OK

Microsoft Hyper-V Virtualization Infrastructure Driver,ROOT\VID\0000,System,OK

WAN Miniport (IKEv2),SWD\MSRRAS\MS_AGILEVPNMINIPORT,Net,OK

Composite Bus Enumerator,ROOT\COMPOSITEBUS\0000,System,OK

Microsoft Virtual Drive Enumerator,ROOT\VDRVROOT\0000,System,OK

PCI Express Root Port,PCI\VEN_1022&DEV_1634&SUBSYS_14531022&REV_00\3&11583659&2&0A,System,OK

PCI Express Root Port,PCI\VEN_1022&DEV_1634&SUBSYS_14531022&REV_00\3&11583659&2&11,System,OK

PCI Express Root Port,PCI\VEN_1022&DEV_1634&SUBSYS_14531022&REV_00\3&11583659&2&14,System,OK

HP Mobile Data Protection Sensor,ACPI\HPQ6007\3&11583659&2,System,OK

AMD SMBus,PCI\VEN_1022&DEV_790B&SUBSYS_790B1022&REV_51\3&11583659&2&A0,System,OK

Microsoft Kernel Debug Network Adapter,ROOT\KDNIC\0000,Net,OK

ACPI Lid,ACPI\PNP0C0D\2&DABA3FF&2,System,OK

HP Omen Driver,ACPI\HPIC0004\3&11583659&2,System,OK

Intel(R) Wi-Fi 6 AX200 160MHz,PCI\VEN_8086&DEV_2723&SUBSYS_00848086&REV_1A\4&247BF9B8&0&0011,Net,OK

Realtek Gaming GbE Family Controller,PCI\VEN_10EC&DEV_8168&SUBSYS_87B1103C&REV_16\4&16ADBEB8&0&000A,Net,OK

