"Property","Value"
"BootDevice","\Device\HarddiskVolume1"
"BuildNumber","22621"
"BuildType","Multiprocessor Free"
"Caption","Microsoft Windows 11 Home Single Language"
"CodeSet","1252"
"CountryCode","1"
"CreationClassName","Win32_OperatingSystem"
"CSCreationClassName","Win32_ComputerSystem"
"CSDVersion",""
"CSName","MAX12"
"CurrentTimeZone","330"
"DataExecutionPrevention_32BitApplications","True"
"DataExecutionPrevention_Available","True"
"DataExecutionPrevention_Drivers","True"
"DataExecutionPrevention_SupportPolicy","2"
"Debug","False"
"Description",""
"Distributed","False"
"EncryptionLevel","256"
"ForegroundApplicationBoost","2"
"FreePhysicalMemory","1686804"
"FreeSpaceInPagingFiles","21950180"
"FreeVirtualMemory","18200420"
"InstallDate","20220928152934.000000+330"
"LargeSystemCache",""
"LastBootUpTime","20230425020052.500000+330"
"LocalDateTime","20230425025121.735000+330"
"Locale","0409"
"Manufacturer","Microsoft Corporation"
"MaxNumberOfProcesses","4294967295"
"MaxProcessMemorySize","137438953344"
"MUILanguages","System.Object[]"
"Name","Microsoft Windows 11 Home Single Language|C:\WINDOWS|\Device\Harddisk1\Partition3"
"NumberOfLicensedUsers","0"
"NumberOfProcesses","245"
"NumberOfUsers","2"
"OperatingSystemSKU","100"
"Organization","HP"
"OSArchitecture","64-bit"
"OSLanguage","1033"
"OSProductSuite","768"
"OSType","18"
"OtherTypeDescription",""
"PAEEnabled",""
"PlusProductID",""
"PlusVersionNumber",""
"PortableOperatingSystem","False"
"Primary","True"
"ProductType","1"
"RegisteredUser","skansal801@gmail.com"
"SerialNumber","00327-36281-30561-AAOEM"
"ServicePackMajorVersion","0"
"ServicePackMinorVersion","0"
"SizeStoredInPagingFiles","22020096"
"Status","OK"
"SuiteMask","784"
"SystemDevice","\Device\HarddiskVolume3"
"SystemDirectory","C:\WINDOWS\system32"
"SystemDrive","C:"
"TotalSwapSpaceSize",""
"TotalVirtualMemorySize","29742144"
"TotalVisibleMemorySize","7722048"
"Version","10.0.22621"
"WindowsDirectory","C:\WINDOWS"
"__CLASS","Win32_OperatingSystem"
"__DERIVATION","System.Object[]"
"__DYNASTY","CIM_ManagedSystemElement"
"__GENUS","2"
"__NAMESPACE","root\cimv2"
"__PATH","\\MAX12\root\cimv2:Win32_OperatingSystem=@"
"__PROPERTY_COUNT","64"
"__RELPATH","Win32_OperatingSystem=@"
"__SERVER","MAX12"
"__SUPERCLASS","CIM_OperatingSystem"
